sample_id,reference,hypothesis,wer,cer
3,"Saa ɔfa yi kasa fa asɛnsini, asɛnsini nhyehyɛeɛ ne toonu ho.",saa ɔfa yikasa fa asɛnsini asɛnsi ne nhyehyɛɛ ne too no ho,0.6364,0.0625
17,Asɛnsini yɛ asɛmfua fa bi a yɛte wɔ ɔkasa mu.,asɛnsinni yɛɛ asɛmfoɔ afa bi ayate wɔ ɔkasa mu,0.6,0.1429
18,Anom nnyegyeeɛ asɛnsini yɛ anom nnyegyeeɛ a ɛtumi gyina sɛ asɛnsini.,anom nnyɛgyeɛ asɛnsini yɛ anom nyɛgyea  atumi gyina sɛ asɛnsini,0.3636,0.1228
19,Toonu yɛ ɛnne mu nsakraeɛ a ɛtumi de nsakraeɛ ba asɛmfua bi nteaseɛ mu.,yɛ animo nsa koraea a ɛtumi de nsakraeɛ baa asɛmfoa bi nteaseɛ mu,0.4286,0.2281
48,Wɔakyekyɛ asɛmfua biara mu kɔ nsɛnsini ahodoɔ a ɛwɔ mu mu.,wɔakyiki asemfoɔ biara mu kɔ nsɛnsini ahodoɔa a ɛwɔ momu,0.4545,0.1702
52,Asɛnsini a emu abue yɛ asɛnsini a ɛnne nnyegyeeɛ twa toɔ.,asɛnsini a emu abue yɛ asɛnsini a ɛnni nyɛgye twɔtoɔ,0.3636,0.1304
57,Asɛnsini a emu to yɛ asɛnsini a anom nnyegyeeɛ twa toɔ.,asɛnsini a ɛmutu yɛ asansinia anom nɛgyeeekyatoɔ,0.6364,0.2045
63,Fa w’ankasa nsɛmfua kyerɛkyerɛ asɛnsini ase.,wɔankasa nsɛmfoɔ akyerɛkyerɛ asɛseni ase,0.8333,0.1892
66,Kyerɛkyerɛ nsɛnsini ahodoɔ a ɛwɔ Asante Twi kasa mu no mu.,ji nyɛna mome ta so kasa mu nu mu,0.7273,0.6596
67,Kyerɛkyerɛ mfasoɔ a ɛwɔ asɛnsini nhyehyɛeɛ so wɔ nsɛmfuayɛ mu no.,karekre mfasoɔ wɔ asansini nhyehyɛeɛ nso wɔ nsɛfoɔeɛ mu no,0.5455,0.2593
69,Ɔkasa biara wɔ ne nsɛnsini nhyehyɛeɛ.,ɔkasa biara wɔ ne nsɛnsene nhyehyɛeɛ,0.1667,0.0645
84,Yɛ mpɛnsɛmpɛnsɛmu fa Asante Twi nsɛnsini nhyehyɛeɛ no ho.,yɛ mpɛnsɛmpɛnsa mu fa asantetwii nsansini nhyehyɛɛ no ho,0.6667,0.0833
88,Ɛne w’afɛfoɔ nhwehwɛ nsɛnsini dodoɔ a ɛwɔ asɛmfua no mu biara mu.,ɛnna wafɛfoɔ nhwehwɛ nsasini dodoɔ a wɔ asɛmfoɔ no m obiara mu,0.5,0.1538
89,Ɛne w’afɛdoɔ nkyɛ adwene mfa asɛnsini no mu biara nhyehyɛeɛ ho.,ɛnna waffedo wa nkyɛ adwene mfa asɛnsene no mobiara nhyehyɛeɛ ho,0.5455,0.1765
93,"Ɔpɛ berɛ mu no, ntɛtea yeree ne ho yɛɛ adwuma pɛɛ aduane bebree guu hɔ.",ɔpɛberɛ mu no ntatiayere ne ho yi adwuma pɛɛ adwanebebree gu hɔ,0.5333,0.1273
101,Monka mo mmuaeɛ no nkyerɛ adesuafoɔ nkaeɛ no nyinaa.,wo nkwam wɔ nmueɛ no nkyeraadesɔfoɔ nkaeɛ no nyinaa,0.6667,0.2093
107,Ghana ha kasa ahodoɔ no nyinaa mu nsɛmfua nteaseɛ gyina toonu so.,ghana ha kasa ahodoɔ no nyinaa mo nsɛmfoɔ ntiaseɛ gyenatoo no so,0.4167,0.1132
109,Ɔkasa biara wɔ toonu ahodoɔ.,ɔkasa biara wɔ too no ahodoɔ,0.4,0.0435
121,"Kasem, Ewe, ne deɛ ɛkeka ho.",o twe,1.0,0.9
123,"Dagbani, ne deɛ ɛkeka ho.",dagbni ne deɛ ɛkek hu,0.6,0.1579
138,Hwɛ nhwɛsoɔ a ɛdidi soɔ yi.,hwɛ nhwɛsoɔ a ɛdidi soɔ yi,0.0,0.0
143,Ɛho nhwɛsoɔ no bi na ɛdidi soɔ yi.,ɛwo nhwɛsoɔ no bi na adidisoɔ yi,0.375,0.0769
148,Yɛtumi de Toonu di dwuma de kyerɛ nsonsonoeɛ a ɛda Akan kasa nkorabata ntam.,yitumi de toono di dwuma de kyerɛ nsonsonea a ɛda akam kasa nkɔrɔbata ntam,0.3571,0.1129
151,Fa w’ankasa nsɛmfua kyerɛkyerɛ toonu ase.,ankasa nsɛmfoa kyerakyerɛ too no ase,0.8333,0.1765
153,Fa nhwɛsoɔ a ɛfata kyerɛkyerɛ toonu ahodoɔ mu wɔ Asante Twi mu.,fa nhwɛsoɔ a ɛfa takyerɛkyerɛ too noa ahodoɔ mu wɔ asantitwi mu,0.5,0.0588
154,Ekuo biara ntoatoa adwen mfa toonu dwumadie ho.,ikuo biara ntɔɣ to a adwoene mfa toono dwuma die ho,1.0,0.1538
161,Kyerɛ asɛnsini a toonu ahyɛnsodeɛ no da soɔ ɛwɔ asɛmfua no mu.,kaera asɛnsini atoo no ahyɛnsodeɛ no da soɔ ɛwɔ asɛmfoɔ no mu,0.3333,0.1
174,Asɛntitire a ɛwɔ abasɛm bi mu no na yɛfrɛ no adwempɔ.,asantitire a ɛwɔ abasam bi mu no na yɛfrɛɛ no adwempɔ,0.2727,0.0714
220,Fa deɛ woatwerɛ no toto deɛ wɔatwerɛ wɔ aseɛ hɔ no ho.,deɛ wɔatwerɛ no toto deɛ wɔatwerɛ wɔ aseɛ hɔ no ho,0.1667,0.0714
223,Yei yɛ akenkan a yɛde hwehwɛ asɛntitire a ɛwɔ abasɛm bi mu.,yiyɛ akenkan na ayɛde hwehwɛɛ asantitire a ɛwɔ abasɛm bi mu,0.5,0.1064
228,Yɛde saa akenkan yi hwehwɛ mmuaeɛ ma nsɛmmisa pɔtee bi.,yɛdesa akenka mfekemua yɛ basɛm sɛ bɔte bi s,1.0,0.4222
229,Kenkan abasɛm a ɛwɔ aseɛ hɔ no.,fɛ nkanabassem a ɛwɔ aseɛ hɔ no,0.2857,0.1667
230,Kyerɛ adwempɔ a ɛwɔ abasɛm a ɛwɔ aseɛ hɔ no mu.,kayerɛ adwenempɔ a ɛwɔ abasɛm a ɛwɔ aseɛ hɔnom,0.4545,0.1111
231,Ka adwempɔ a wohunuiɛ no kyerɛ adesuafoɔ nkaeɛ no na fa toto wɔn deɛ ho.,ka adwɛmpɔ awɔhunuiɛ no kyerɛ adesuafoɔ nkaeɛ no na fa totoo wɔn deɛ ho,0.2667,0.0526
254,Na meka wɔn a wɔbɔɔ wɔn ho mmɔden pa ara wɔ sɔhwɛ a ɛtwa toɔ no mu no ho.,na meka wɔn aa wɔbɔɔ wɔn hom mmɔden pa ara wɔ sɔ hwɛ a atwa toɔ no mu no ho,0.2632,0.0556
257,Ka w’adwempɔ no kyerɛ adesuafoɔ nkaeɛ no.,ka wɔadwe pɔ no kyerɛ adesoafoɔ nkaeɛ no,0.4286,0.0909
265,Na sɛ mpanimfoɔ nso yɛ mfomsoɔ ɛ?,na sɛ mpanimfoɔ nso yɛ mfomsoɔ yɛ,0.1429,0.0385
270,"Nanso, ne nyinaa mu no, setie boa ma yɛnya asomdwoeɛ ne ahobammɔ.",nanso ne nyinaa mu no setieboa mma yɛnnya asomdwoeɛ nahobammɔ,0.5,0.0588
282,Kenkan abasɛm a ɛwɔ fam hɔ no na bua nsɛmmisa ahodoɔ a ɛtoa soɔ no.,kenkan abasɛm a ɛwɔ fam hɔ na naboa nsɛmmisa ahodoɔ a aɛtoa soɔ no,0.2,0.0577
287,Sukuupanin no gyina hɔ ma tumidie wɔ sukuu no mu.,kukuu pani no gyina hɔ matumidie wɔ sukuu no mu,0.4,0.0513
301,"Afei, fa toto asekyerɛ a ɛwɔ fam hɔ no ho.",afei fa toto asekyereaeɛwɔ fam hɔ no ho,0.3,0.0645
313,Yei yɛ ɛkwan a wofa so kenkan abasɛm bi sɛdeɛ ɛbɛyɛ a wobɛnya emu nteaseɛ.,yei yɛ ɛkwan awofa so kenkan abasɛm bi sɛdeɛ bɛyɛ awobɛnya emu ntiaseɛ,0.4,0.0339
323,Yei yɛ ɛberɛ a ɔkenkanfoɔ no si gyinaeɛ wɔ abasɛm no akenkan akyi.,yei yɛɛ ɛberɛ a ɔkenkamfoɔ no sɛ gyinaeɛ wɔ abasɛm no akenkan akyi,0.2308,0.0566
326,Ahonnidie yɛ ade titire ɛho hia pa ara wɔ nnipa apɔmuden ne animuonyam mu.,ahon deɛ adeɛn titire ɛhɔ hia paa wɔ nnipa apɔmuden ne animunyammɔ,0.5714,0.1833
348,Fa w’ankasa nsɛmfua kyerɛkyerɛ ‘adwempɔ’ ase.,wɔankasa nsɛmfoɔ akyɛɛkyɛɛ adwempo ase,0.8333,0.2778
349,Kenkan abasɛm a ɛwɔ fa hɔ no na bua ɛho nsɛmmisa a ɛtoa so no.,kenkan abasɛm a ɛwɔ fa hɔ no naboa ɛho nsɛmmisa a ɛtoa so no,0.1333,0.0213
351,"Obuo nyɛ biribi a yɛhyɛ obi ma no de ma yɛn na mmom, ɛyɛ adeɛ a yɛnya.",ɔbuo nya biribi ayɛ hyɛ obi mma no ɔden mma yɛn na mmom ɛyɛ adeɛ ayɛny,0.5294,0.1346
356,Fa no sɛ woawura sukuu dan bi mu a obiara de enidie kyea ne yɔnko fɛfɛɛfɛ.,na sɛɛ wɔawura sukuu dan bi mu a obiara dɛ ane die kyiaa ne yɔnkoɔ fɛfɛɛfɛ,0.5625,0.1897
359,Sei na obuo si teɛ.,sɛi na obuo seteɛ,0.6,0.1429
363,"Sɛ wowɔ ntoasoɔ sukuu mu yi, kae sɛ, obuo yɛ sekan- nufanu.",sɛ wowɔ ntoasoɔ so koo mu yi aeɛ sɛ obuyɛ nsiaka nnofa no,0.5833,0.25
366,Ɛdeɛn na atifiasɛm no ka fa adwempɔ a ɛwɔ abasɛm no mu ho?,ɛyɛ deɛn na atefie asɛm no kafa dwempɔ a ɛwɔ abasɛm no mo ho,0.6154,0.1333
368,Fa ɔkasamu nnan bɔ abasɛm yi nyinaa tɔfa.,ɔkasa mo nam bɔ abasɛm yɛn nyinaa atɔfa,0.625,0.2424
369,Twerɛ akenkan a emu dɔ su mmienu bi a woasua wɔ saa ɔfa yi mu.,tore akenkan ayemudɔ so mmienu bi awaasoa wɔsaa ɔfa im,0.7333,0.1915
371,Nsonsonoeɛ bɛn na ɛda anoteɛ ne mmɔakyire agyinasie ntam?,niso sone yɛbɛn na ɛda anɔteɛ ne moakyerɛ agyenaseɛ ntam,0.6667,0.25
372,Kyerɛkyerɛ akenkan ntrɛmu su mmiɛnsa mu?,teretere akenkanterɛm suu mmiɛnsa mu,0.6667,0.2941
373,Kyerɛkyerɛ nsonsonoeɛ ɛda akenkan a emu dɔ ne akenkan ntrɛmu mu.,na arekampa ne fita savet akenkan ɛ mu dɔ ne akenkan ntrɛm mu,0.7273,0.434
392,Yɛde mmataho di dwuma wɔ ɔkasa no mu de yɛ nsɛmfua foforɔ.,yɛne mmataho di dwuma wɔ ɔkasa no mu de yɛ nsɛmfo foforɔ,0.1667,0.0652
399,Mmataho a yɛtaa de di dwuma pa ara ne nsianimu ne nsiakyire.,atare ɛyɛ taadedii dwuma pa ara ne nsiane mu ne nsiakyire,0.5833,0.1458
403,Nsianim yɛ mmataho a yɛde si asennua bi anim.,nsinanim yɛ mataho ayɛ de si asenoa bi anim,0.5556,0.1111
404,Nsim nso yɛ mmataho a yɛde si asennua bi ntam.,nsɛ mo nso yɛammata hɔ ayɛde si asɛnnoa binta,0.9,0.1944
405,Nsiakyire yɛ mmataho a yɛde si asennua bi akyiri pɛɛ.,nsakyire yɛ mataho ayɛdɛ si asenoabi akyiri pɛr,0.7,0.1395
409,Yɛnnim Ghana kasa bi a saa berɛ yi ɛde nsim di dwuma?,yɛnam ghana kasabia asaberɛ yi de nsɛd,0.8333,0.3171
416,Dane w’ani kyerɛ wo yɔnko na kyerɛkyerɛ mmataho ho ase kyerɛ no.,danee wɔ ne kyerɛ wo yɔnko na kyerɛkyerɛmata ho ho asekyerɛ no,0.5833,0.0784
424,Nyafirim mmataho no ma yɛnya nsɛmfua foforɔ firi asennua no mu.,ni afome pataho no ma yɛ nyaŋensɛmfoɔ afofori asɛno ano mu,0.8182,0.3269
434,"Nhwɛsoɔ, wode nsianim m- si asennua barima ho a, ɛbɛdane mmarima.",nshwiɛsoɔ wode nsianim nsi aseenu abarima ho a ɛbɛdane mmarima,0.4545,0.0784
443,Mmataho dwumadie no da nso wɔ ɔkasa ahodoɔ mu.,mataho twampa dumadie no dan nso wɔ ɔkasa ahodoɔ mu,0.4444,0.2162
444,Ɛboa ma yɛtumi yɛ nsɛmfua foforɔ firi asennua anaa asɛmfua dada bi mu.,ɛboa  ma yɛtumi yɛ nsamfoɔ afoforɔ firi asɛnnoa anaaaamfoata dabi mu,0.5385,0.1579
