sample_id,reference,hypothesis,wer,cer
5,"Akpa sia ƒo nu tso nu si nukɔkɔ nye, nukɔkɔ ƒe tutuɖo kple gbeɖɔɖɔ ŋu.",akpa sia fu ŋutsu nu si nukɔkɔnye nukɔkɔ ƒe tutudo kple gbelɔɖɔ ŋu,0.4667,0.1111
9,Àgasrɔ̃ nu tso gbeɖɔɖɔ hã ŋu le akpa sia.,maka srɔ̃ nu tso gbelɔɖɔha ŋu le akpa sia,0.4444,0.0968
15,Nukɔkɔ nye nya ƒe akpa si woate ŋu ayɔ le nukeke ɖeka me.,nukɔkɔ nye nya ƒe akpa si woate ŋu ayɔ le nukekeɖeta me,0.1538,0.0227
16,Xaxagbeɖiɖi aɖewo tea ŋu nɔa wo ɖokuiwo si nyea nukɔkɔ.,fasa gbeɖiɖi aɖe wò tia ŋu nɔa woɖokuiwò si nyea ŋkɔkɔ,0.8,0.1556
22,"Nusrɔ̃la, nukɔkɔ nenie le nya agbelimɔ me?",nusuala nu kɔkɔ nenie le nya agbele mɔ me,0.7143,0.0909
24,Wonɔa wo ɖokuiwo si wɔa nukɔkɔ.,wolo wokuiwo si woa nu kɔkɔ,1.0,0.24
42,Nukɔkɔwo to vovo tso gbegbɔgblɔ ɖeka gbɔ yi bubu gbɔ.,nukɔkɔ woto vovo co gbegblɔgblɔ ɖeka gbɔ yí bubu gbɔ,0.5,0.093
45,Nukɔkɔ nɔnuvo nye nukɔkɔ si wu enu kple ablɔɖegbeɖiɖi.,mu kɔkɔ nɔnuvɔ nye nu kɔkɔ si wu enu kle ablɔdi gbeɖidi,0.8889,0.1333
48,"Le kpɔɖeŋu siwo va yi me la, míede dzesii be ablɔɖegbeɖiɖiwoe wu nyawo nu.",likam sue veyi mela míede dze si be ablɔ digbeɖi duwoe wu nyawo nu,0.7857,0.2712
50,Nukɔkɔ manɔnuvo nye nukɔkɔ si wua enu kple xaxagbeɖiɖi.,nu kɔkɔ manɔ nuvo nyi nu kɔkɔ si woa enukple aha gberiri,1.2222,0.1304
57,Miƒo nu tso nu si nukɔkɔ nye la ŋu le miaƒe gɔmesese nu.,meƒo nu tso nu si nu kɔkɔ nye la ŋu le mía ƒe gɔme sese nu,0.5385,0.0465
59,Miɖe nukɔkɔ ƒe ha siwo le Eʋegbe me la me.,mede nu kɔkɔ fiha siwo le ivegbe me la me,0.5,0.1875
60,Miɖe nukɔkɔ ƒe tutuɖo ƒe vevinyenye le nyatutuɖo me la me.,miɖe nuko kɔfi tutudo fi vevi nye nye le nya tutudo mela me,0.9091,0.1489
61,Nukɔkɔ ƒe tutuɖo to vovo tso gbegbɔgblɔ ɖeka gbɔ yi bubu gbɔ.,nukɔkɔ ƒe tutu ɖo to vovo tso gbegbɔgblɔ ɖeka gbɔ yi bubu gbɔ,0.1667,0.0
