sample_id,reference,hypothesis,wer,cer
13,Tum pɛnsapɛnsa abosoomdzin ne mfaso mu.,"Tom pansapansa, abosoom gye ne mfaso mu.",0.6667,0.2121
14,Tum pɛnsapɛnsa bragor ne mfaso na no bo a ɔsom mu.,Ɔtom pɛnsapɛnsa brago ne mfaso na no bɔ a ɔsom mu.,0.2727,0.1026
15,Tum da abadzinto ho nyimdzee edzi.,Ɔsow me no po abɛgye tse hɔ nye medze edze.,1.6667,0.75
16,Tum da bragor ho nyimdzee edzi.,Tonton! Tabragor ho nyimdzee dzi.,0.6667,0.28
19,Ɔbosom yɛ sunsum mu etumfo no bi.,Ɔbosom yɛ sunsum mu etumfo no bi.,0.0,0.0
25,"Ghanaman mu so, kasa biara wɔ n’abosom.",Ka ne man mu so kasa biara wɔ n’abosom.,0.4286,0.1
29,Akyerɛkyerɛfo nhyɛ no nsew dɛ wɔbɔhwehwɛ Mfantsefo abosom edzin no bi aka ho.,"Akyerɛkyɛ fa nsia no, nsɛw dɛ wɔbɔhwɛe, mfantsefo abosom edze no bi akɛ ho.",0.5385,0.2188
30,Abosondzin yɛ abosom edzin a nkorɔfo gyina Ebibir mu som (abosonsom) do dze to nyimpa.,Abosɔngye no yɛ abosɔm edzin a nkorɔfo gyina ebiber mo sɔm abosɔm do dedzetɔ nyimpa.,0.6,0.2174
31,Abosondzin bi na ɔka do yi.,Ɔbosɔndzen bi na ɔka do yi.,0.1667,0.1429
33,Akyerɛkyerɛfo nhyɛ no nsew dɛ wɔbɔhwehwɛ Mfantsefo abosondzin no bi aka ho.,Akyerɛkerɛfo nhyɛ no nsɛw dɛ wɔbɔhwehwɛ mfantsefo abosondze no bi aka ho.,0.25,0.0635
34,Ɔma yehu beebi a nyimpa bi fi anaa fie a ofi mu.,Ɔma yehu bɛbi anyimpa bi fi anaafe a ɔfee mu.,0.5,0.1667
35,Ɔkyerɛ nkitahodzi a ɔda nyimpa no na bosom no ntamu.,Okyerɛnketa ahodzi a ɔda nyimpa no na bosoom no ntam mu.,0.5,0.119
37,Abosondzin san bɔ kusum amandze ho ban.,Abosɔndze nsɛmbɔ kosom amandze ho ban.,0.5714,0.1875
38,Abosondzin no to ka kusum abadzinto nhyehyɛɛ no ho.,Abosondze no to kakosum abadze nto nhyehyia noho.,0.7778,0.1429
39,Mpɛn dodow a nkorɔfo roto abosondzin no nna yerutu mfaso a ɔwɔ abadzinto ho no mpon.,Mpɛn dodow annkorɔfo roto abosondzen no na yer to mfaso a ɔwɔ abɛdzento ho no mpo.,0.5,0.1176
44,Siantsir kor a ɔma nkorɔfo to abosondzin nye no.,Syanta kɔr a ɔma nkorfo to abosondze nye no,0.4444,0.2051
45,Kyerɛkyerɛ abosondzin mu na ma Mfantsefo abosondzin mfatoho ebiasa.,Abɔnsen mu na mma mfantsefo abɔnsen mfato ebiasa.,0.5556,0.431
46,Kyerɛ abosondzin ho mfaso ebiasa.,"Ana ɔbɔfasu no hom mfa so ebiasa,",1.2,0.5
49,Fa woara wo nkasafua kyerɛkyerɛ abosondzin ho mfaso ebiasa mu.,Fa woara wo nkasafo akyerɛkyerɛ abosondze ho mfa so ebiasa mu.,0.5,0.0577
51,Kwan bɛn do na egye dɛm asɛm yi “Ɔwɔ dɛ nkorɔfo kɔ do to abosondzin.” to mu.,"Kwamban do na egye dɛm asɛm yi, ɔwɔ dɛ nkorɔfo kɔ do to abosondze no, to mu.",0.2353,0.0714
53,Nye afofor dzi nkɔmbɔ fa kwan a Mfantsefo fa do gor bra ho.,"Nye afofɔdzee nkɔmbɔ, fa kwan afantefo fa do gor bra ho.",0.3077,0.1304
56,Dze kwan a Mfantsefo fa do gor bra toto afofor dze ho.,"Dze kwan a mfantsefo fa do gor bra, toto afofor dze ho.",0.0,0.0
61,"Dɛm mfe yi, ɔtɔfabi a, ɔsesa.","Dɛm mfe yi, ɔtɔfabea a, ɔsesa.",0.1667,0.0952
64,N’ayeradze na n’ambɔtoadze nhwi hyɛ ase fuw.,N’ayɛdze na n’ambɔtoadze ho hyɛ asefo.,0.5714,0.2286
67,Ne banyin no yɛ kɛse.,Ne banyin no yɛ kɛse.,0.0,0.0
69,No mu twe ma ɔyɛ tsentsen.,Nom dure ma ɔyɛ kyentsen.,0.6667,0.25
73,"Ɔsan so kyerɛ ahotsew, ahoɔfɛw na enyimnyamhyɛ.","Ɔsan so kyerɛɛ ahotsew, ahoɔfɛw na inyimnyam hyɛ.",0.4286,0.0513
77,Wɔtɔ dadze ma no na dza ɔkeka ho.,Wɔtɔɔ dadze m’anomu na dza ɔkeka hɔn.,0.5,0.2
80,Wo kuromfo frɛ bragor dɛn?,"Wo kɔmfo frɛ Bragor dɛ,",0.4,0.1905
81,Bea biara na kwan a wɔfa do gor bra dɛm ntsi kwan a Mfantsefo fa do gor bra na ohia wɔ ha.,Biara na kwan awɔfa do gor bra dɛm ntsi kwan a mfantsefo fa do gor bra na ohia wɔ ha.,0.1364,0.0441
84,Enye mbofra no nkasa mfa ndzɛmba ahorow a wɔyɛ ana bra no ngoree ankasa ahyɛ ase ho.,"Ne nye mbofra no nnkasa fa ndzɛmba ahorow, awɔyɛ anabra no ngorei ankasa ahyɛ ase hɔn.",0.5882,0.0896
85,Ɔwɔ dɛ nsesa bi da edzi wɔ nyimpa no ne nyimpadua mu.,Ɔwɔ dɛ nsesɛ bi dɛ edzi wɔ nyimpa no ne nyimpa dua mu.,0.3333,0.0488
86,Wɔfrɛ no nye no kasa fa nsesa a aba ne nyimpadua mu ho ma ohu dɛ nsesa no ka abrabɔ ho.,Wɔfrɛ no nye no kasafa nsesa aba ne nyimpa dua mo ho ma ohu dɛ nsesa no ka abrɛ bɔ ho.,0.381,0.0455
87,Wɔsan ma no abrabɔ mu nkyerɛkyerɛ bi.,Wɔ saman no abrabɔ mu nkyerɛkyerɛ bi.,0.2857,0.0667
89,Wɔsan so kɔ abosom enyim kebisa hɔn nkyɛn mboa.,Bɔsan so kɔ abosom enyim kebisa hɔn kyɛn mbowa.,0.3333,0.0789
91,Wosusuaw ɔbranyi no ne tsinhwi na wobubu n’awerɛw.,Wo susu ɔbrɛnyi no ne tsinhwi na wobubu no awerɛw.,0.625,0.0976
92,Wɔdze no kɔ esutsen mu koguar no.,Wɔdze no kɔr Esutsen mu kokwar no.,0.2857,0.1154
93,"Eguar no mu no, wɔdze no ho nhwi a woyii no nye ndzɛmba afofor bi hyɛ esutsen no ano.","Egua ano mu no, wɔdze noho nwi awoyii no nye ndzɛmba afofo bi hyɛ esutsen ano.",0.4737,0.0769
94,Wɔdze kyirefuwa ma no ma ɔmokomoko.,"Wɔdze kyirefuw ama no, ma ɔmokomoko.",0.3333,0.0
95,Wɔdze ɔtɔ ma no ma odzi.,Wɔdze ɔtɔma nnoma odzi.,0.6667,0.0556
96,Wɔdze no tsena asɛsɛgua do.,Wɔdze no tsenaa asasɛgua do.,0.4,0.0909
97,Wɔdze nkunuma kɛsɛɛ na son no nwoma to n’enyim na n’ekyir ber a ɔtse asɛsɛgua no do no.,"Wɔgye nkunoma kɛsɛɛ, naaso no nwomato n’enyim, na n’ekyir bɛɛn a ɔtɛ asɛsɛgoa no do no.",0.5,0.1642
100,Nkorɔfo kyɛ ɔbranyi no adze.,Nkorɔfo kyɛ ɔbranyino adze.,0.4,0.0
101,"Ɔkyerɛ dɛ afei dze, oedu ne mpanyinyɛ mu.","Ɔkyerɛ dɛ afei dze, oedu ne mpanyinnyɛ mu.",0.125,0.0312
103,Ɔkyerɛ dɛ onyia no aso awar.,Ɔkyerɛ dɛ onyia no asow awar.,0.1667,0.0455
104,Ɔhyɛ afofor nkuran ma wɔbɔ ɔbra pa a ɔbɛma wɔaagor hɔn so bra.,Ɔhyɛ afofo nkura ma wɔbɔ ɔbrapa a wɔbɛma wɔagow hɔn so bra.,0.4615,0.102
105,Ɔyɛ enyimnyamhyɛ ma awofo na ebusuafo no so.,Ɔyɛ enyimnyam hyɛ ma awofo na ebusuafo no so.,0.25,0.0
106,Ɔma ɔbranyi no nya foto dze hyɛ abrabɔ ase.,Ɔma obiranyi afotoo dze hyɛ abrabɔ ase.,0.4444,0.2059
108,Hyɛ no nsew dɛ esuafo no nyinara hɔn ntsease nnyɛ pɛr ntsi ma nkyerɛmu a ɔbɔboa obiara ne ntseasee.,Yɛ no nsɛw dɛ esuafo no nyinara hɔn ntseaseenyi pɛ ntsi mannkyer mu a ɔbɔboa obiara ne ntseasee.,0.3684,0.0875
109,Ma bragor ho mfaso ebiasa?,Mabrɛ gor ho mfa so ebiasa.,0.8,0.0476
110,Yi bragor ho mfaso ebien na kyerɛ siantsir a no ho hia papaapa.,Mbra go hɔn fasu ebien na kyerɛ siantsɛ anohɔ hia papaapa.,0.6154,0.18
111,Bragor mu dwumadzi wɔ nkyekyɛmu ebiasa.,Ɔragɔ wo ho dwumadzii wɔ nkyekyɛmu ebiasa.,0.6667,0.2121
115,Kyerɛ ndzɛmba ebiasa a wɔyɛ ana wɔaagor obi bra.,Ndzɛmba ebiasa awɔyɛ anaa ɔagor obi bra.,0.5556,0.1795
117,Kyerɛkyerɛ dwumadzi ebiasa a wodzi no bragor mu ankasa mu.,Eti na domadze ebiasa a wɔdze no dragon wɔannkasa mu.,0.7,0.3958
118,Kyerɛkyerɛ dwumadzi ebiasa a wodzi no bragor ekyir.,Kor ekeka ekyidɛ demdze abadze a wɔdze no ɔbrɛ agor ekyir.,1.0,0.5116
120,"Pɛnsɛmpɛnsɛm mfaso ebiasa a ndɛ mber yi wo mamfoe nya fi bragor mu, mu.",Rɛnsɛmpɛnsɛm mfaso ebiasa a nndɛ mber yi wo mamfoe nyafe bra gor mu.,0.4286,0.0893
121,"Ndzɛmba na ndzeyɛɛ bi wɔ hɔ a wodzi nsɛ, bi so nndzi nsɛ.","Ngyamba na ndzeyɛɛ bi wɔ hɔ awodzi nsɛ, bi so nndzi nsɛ.",0.2308,0.0698
123,Beebiara wɔdze ndzɛmba bi dzi dwuma wɔ bragor mu mbom ndzɛmba no na otum sesa.,Diaw a wodzi ndzɛmba bigye dwuma wɔ Bragor mu mbom ndzɛmba no na Otum sesɛb.,0.4,0.1905
124,Kasa biara wɔ da pɔtsee bi a wɔdze esi hɔ a wɔdze gor bra.,Kasa do ara da pɔtsee bi a wɔdze esi hɔ a wɔdze gɔ bra.,0.2143,0.1364
125,Wɔyɛ ma obi a oedu ne mpanyinyɛ mu.,Wɔyɛmma obi a oedu ne mpanyinya mu.,0.375,0.0741
126,Wɔdze ɔbranyi no to dan mu ma no abrabɔ mu nkyerɛkyerɛ.,Wodze ɔberɛnyi no to dɛm mmaa no abrɛbɔ mu nkyerɛkyerɛ.,0.5455,0.1818
127,Kasa biara yɛ biribi wɔ branyi ne tsinhwi ho.,Kasa biara yɛ biribi wɔ berɛnyi no tsi ho hɔn.,0.4444,0.2222
128,"Kasa biara mu no, wɔyɛ sunsum mu ahoboa.","Kasa biara mu no, wɔyɛ sunsum mu ahoboa.",0.0,0.0
129,Kaa dɛ edze bi bɛka ho.,Kaa dɛ edze bi bɛka ho,0.0,0.0
131,Ɔsor ndzɛmba a beebiara wɔdze gor bra.,Ɔsor ndzɛmba aba biara a wɔdze gor bra,0.4286,0.0968
132,Kasa biara wɔ da pɔtsee a wɔdze gor bra.,Kasa biara wɔ da pɔtsee awɔdze gor bra.,0.2222,0.0
133,"Ɔsor kasa biara na edziban a wɔdze ma nkorɔfo, dze som hɔn ahɔho.",Ɔsor kasa biara na edziban awɔdze ma nkorɔfo dze som hɔn ahɔho.,0.1538,0.0
134,Kasa biara wɔ kwan a wɔfa do yɛ sunsum mu na ndzɛmba afa mu ahoboa.,Asa biara wɔ kwan awɔfa do yɛ sunsum mu na nsɛmba afa mo ahoboa.,0.3333,0.0769
135,Hyɛ no nsew dɛ esuafo no nyinara hɔn ntsease nnyɛ pɛr ntsi gye obiara ne nteasee to mu.,Yenum nsɛw dɛ esuafo no nyina hɔn ntseasee nye ɔfɛr ntsi gye obiara ne ntseasee to mu.,0.4444,0.1739
140,"Dagbani, Gonja, Ga, Kasem, Dangme, Nzema, Ashante, Akwapim, Ewe, etc.).","Dagbani, Gonja, Ga, Karsem, Dangme, Nzima, Ashanti, Akwapam, Ewe, Eserae.",0.5,0.18
141,Pɛnsapɛnsa Mfantsefo bragor na afofor bi hɔn dze mu.,Ɔpɛnsapɛ nsamfantse fow Brago na afofo bi hɔn dze mu.,0.5556,0.093
145,Akanfoɔ amammerɛ ne Akan kasadwin.,Aka mfowa ama merɛ ne akan kasa do no.,1.4,0.2414
156,Wotum mpo dzi nsɛ wɔ kwan bi do.,Wotu mpo dze nsa wɔ kwan bi do.,0.375,0.125
162,Dɛm efiefi yi na yɛtɔ dɛ yɛfrɛ hɔn fiebobow no.,Dɛm efiefi yi na yɛtɔ dɛ yɛfrɛ hɔn fie bobow no.,0.2,0.0
163,Dɛm nkorɔfo yi taa yɛ ebusua tsentsen mu mba.,Dɛm nkorɔfo yi taayɛ ebusua tsentsen mmba.,0.4444,0.0278
