sample_id,reference,hypothesis,wer,cer
7,"Saa ɔfa yi kasa fa asɛnsin, asɛnsin nhyehyɛe ne toonu ho.",saa ɔfa yi kasa fa asɛnsin asɛnsin nhyehyɛɛ ne tono ho,0.1818,0.0667
19,Asɛnsin yɛ asɛmfua fa bi a yɛte wɔ kasa mu.,asɛnsi yɛ asɛmfoɔ afabi ayɛte wɔ kasa m o,0.8,0.1212
20,Anom (Kɔnsonant) nnyigyei yɛ anom nnyigyei a etumi gyina sɛ asɛnsin.,ɛno nkɔnsa yi gyeyɛ anom yi gye a ɛtumi gyina sɛ asɛnsi,0.7273,0.2545
21,Toonu yɛ ɛnne mu nsakrae a etumi de nsakrae ba asɛmfua ntease mu.,kontonyɛ animu nsakra a ɛtumi de nsakran ba asɛmfoa nteasɛ mu,0.6923,0.2308
51,Wɔakyekyɛ asɛmfua biara mu kɔ nsɛnsin ahorow a ɛwɔ mu mu.,wɔakyekyɛ asɛmfoɔ biara mu kɔ nsɛnsin ahoro a ɛwɔ mo mu,0.2727,0.087
55,Asɛnsin a emu abue yɛ asɛnsin a ɛnne nnyigyei twa to.,asɛnsenea mo aboɔ yi asansena a ɛni nnyigyae twa t,0.8182,0.3571
60,Asɛnsin a emu to yɛ asɛnsin a anom nnyigyei twa to.,asansi na ɛmoto yɛ asɛnse na anom nyigyee toa,0.8182,0.225
65,Fa w’ankasa nsɛmfua kyerɛkyerɛ asɛnsin ase.,wɔankasa nsɛmfoɔ akyerɛkyere asɛnsinasem,1.0,0.1944
67,Kyerɛkyerɛ nsɛnsin ahorow a ɛwɔ Akuapem Twi kasa mu no mu.,hɔme anyaabaanokɔmfo amsa ne kasa mu no mu,0.6364,0.6383
68,Kyerɛkyerɛ mfaso a ɛwɔ asɛnsin nhyehyɛe ho nimdeɛ so wɔ nsɛmfuayɛ mu.,yarekyerɛ mfasoɔ a ɛwɔ asɛnsen nhyehyɛ ho nimdeɛ so wɔ nsɛmfoyɛ mu,0.4167,0.1404
69,Ɛne wo mfɛfo nkyɛ wo mmuae no.,ɛne wo mfafunkyɛ wommuaeɛno,0.7143,0.1304
70,Ɔkasa biara wɔ ne nsɛnsin nhyehyɛe.,ɔkasa biara wɔ ne nsɛnsi nhyehyɛeɛ,0.3333,0.069
73,Asɛnsin fa a ɛho hia pa ara yɛ ɛnne nnyigyei.,asɛsefa a ɛhohia pa yɛ ani nye gye,0.8,0.3429
84,Yɛ mpɛnsɛmpɛnsɛmu fa Akuapem Twi nsɛnsin nhyehyɛe no ho.,yɛpe nsɛ pɛnsa mu fa akoapɛm toi insanse nhyehyɛɛ no ho,0.8889,0.2553
88,Ɛne wo mfɛfo nhwehwɛ nsɛnsin dodow a ɛwɔ asɛmfua no mu biara mu.,ɛnne wo nsra ko wo wohsia sɛsin dodo a ɛwɔ asɛmfoɔ anom mu biara u,0.7692,0.3529
89,Ɛne wo mfɛfo nkyɛ adwen mfa asɛnsin no mu biara nhyehyɛe ho.,ɛne mo mfɛfoɔ nkyɛ agyenfa asansi no mo biara nhyehyɛɛ ho,0.5833,0.1875
92,Na abɛbɛ ne ntɛtea yɛ nnamfonom amapa nanso na wɔn mu biara nko ne ne suban.,na babɛne ntɛtea yɛɛ nnamfonom ammapa nanso na wɔmmɔ biara nko nene subank,0.5625,0.1167
93,"Ɔpɛ bere mu no, ntɛtea yeree ne ho yɛɛ adwuma pɛɛ aduan bebree guu hɔ.",ɔpɛ berɛ mu no ntɛtea yeree ne ho yie adwuma pɛ adua beberee gu hɔ,0.4,0.1296
99,Monka mo mmuae nkyerɛ adesuafo nkae no nyinaa.,wɔnka mo mmoa nkyerɛ adesuafoɔ nkaeɛ no nyinaa,0.5,0.1579
109,Ɔkasa biara wɔ toonu ahorow.,ɔkasa biara wɔtoo no ahoroɔ,0.6,0.087
134,Hwɛ nhwɛso a edidi so yi.,yɛyfo one,1.0,0.8421
139,Ɛho nhwɛso no bi na edidi so yi.,ɛho nhwɛsoɔ no bi na ɛdidi sii,0.5,0.1667
148,Fa w’ankasa nsɛmfua kyerɛkyerɛ toonu ase.,wɔankasasɛfoɔ kyeɛkyeɛtoo no ase,0.8333,0.2941
151,Fa nhwɛso a ɛfata kyerɛkyerɛ toonu ahorow mu wɔ Akuapem Twi mu.,a ɛfata kyerɛkyerɛtoo no ahoromu wɔ akoapem twimu,0.75,0.2157
152,Kuw biara ntoatoa adwen mfa toonu dwumadi ho.,wwu biara ntoatoa adwene mfatoo no dwumadi ho,0.5,0.1351
159,Kyerɛ asɛnsin a toonu ahyɛnsode no da so wɔ asɛmfua no mu.,sɛs tohɛsdeonoaane bi wɔ asɛmfoɔ no mu,0.75,0.5435
160,Monka mo mmuae no nkyerɛ adesuafo nkae no nyinaa.,wonka mommoɛ no nkyerɛ adesouafoɔ nkaeɛ no nyinaa no,0.6667,0.225
172,Asɛntitiriw a ɛwɔ abasɛm bi mu no na yɛfrɛ no adwempɔw.,asɛntitiri a ɛwɔ abasɛm bi mu no na yɛfrɛ no adwempɔn,0.1818,0.0455
215,Fa nea woakyerɛw no toto nea wɔakyerɛw wɔ ase hɔ no ho.,na wra wɔakyerɛ no o totonia wɔakyerɛ wase hɔ no ho,0.6667,0.2093
218,Eyi yɛ akenkan a yɛde hwehwɛ asɛntitiriw a ɛwɔ abasɛm bi mu.,ɛyiiyɛ akenkan ayɛde hwehwɛ asɛntitiri a ɛwɔ abasɛm bi mu,0.4167,0.0625
