sample_id,reference,hypothesis,wer,cer
16,Kamalgakul la kamalgaba be kaba tereso nna.,Kamɛlgako la kamɛlgababi kaba tre so nna.,0.7143,0.1667
17,Kamalgakul nɔtowor ela kɔnɔtowor nɛ ku bee shuŋ fanɛ kamalgakul.,Kamalgakɔr notowɛ e laa kɔnɔtowɛ nɛ k bee shuŋ fanɛ kamalgakɔr,0.7,0.2037
25,Loŋso Koji kɔ mmalgakul anyɔ nna.,"Lamso koji, kumɔlba kule anyɔ na.",0.6667,0.2963
30,Le bee tiŋ a wɔrɔ nna nɛ eboltowor baaŋ maŋ chɔwɔ nnɔtowor ere so.,Nɛ bee tiŋ a wora nna nɛ ebɔltowɛr baŋ maŋ chuwɔ nnɔtowɛr ere so.,0.4286,0.1731
38,Ku bee chɛ bebiipo to nna nɛ baa tiŋ a nyɛ mmalgaba pupɔr monɛ a niŋi.,Kubeechebibiipo to nna nɛ baa tiŋ anyi malga ba pɔpɔ mo nɛ an niŋi.,0.6875,0.1296
39,Ku bee chɛ bebiipo na to nɛ baa tiŋ a pin ngbar na be mmalgaba.,Guboeche bebiipo na to nɛ baa tiŋ a pin gba na be malga ba.,0.4,0.125
40,Ku naa chɛ bebiipo to nɛ baa pin ngbar na be mmalgaba be afiito.,Pɔnachɛ bebiipo to nɛ baa pin gba nɛ b ma gaba bee afito.,0.7143,0.22
43,"Ashi esoso be akeniso ere to, kukul kama la kamalgakul nna.","Oshi esoso bee a keni so ere to, k kuli kamala kamalga kule nna.",0.9091,0.1064
44,Ghana be ngbarana be mmalgakul be ntuŋso kɔr abarto.,Beŋgbarana bee malgba kulbi ntuŋsokɔr abato.,1.0,0.2326
47,Kamalgakul buwitoso la kamalgakul nɛ ku bee luweto nɛ eboltowor nna.,Kamagako bui to so la kamagako nɛ ku bee luwe to nɛ ebo to e nɛ,1.0,0.2281
50,Kede ela kamalgakul monɛ ku bee luweto nɛ kɔnɔtowor.,"Kede e la, kamalga kul, mo nɛ ko bee lue to nɛ kɔnɔ to wɛ.",1.3333,0.093
53,Ta fo gbagba be mmalgaba n delgeso kusɔnɛ ku la kamalgakul.,"Kafu gbagba B, Mɛl gaba, ndɛljiso ko sɔnɛ, hula kamalga ko.",1.0,0.25
