sample_id,reference,hypothesis,wer,cer
3,"Popwara kanto tε selabole, selabole yedaa de kwori na ye kolo to taane mo.","Puwara kanto tei selaboli. Selaboli ye da de kwori, na ye kolo to taane mo.",0.4286,0.1186
14,Selabole ye botarebu wom na pɔɔre tei o bwoi to mo.,Selaboli ye botare bu wom na pɔɔre tei o bwei to mo.,0.3636,0.05
15,Kɔnsonante delo na wae de kweeli selabole to ke ne de ye selabole mo tei.,Konsonante delo na wae de kweeli salaboli to ke ne de ye salaboli mo tei.,0.2,0.0862
16,Kwori ye kwor-taŋa kam na leiri tei ye ko wae ko pae botarebia kura leiri to mo.,Koro ye koro teiŋa kam ná leiri tei ye ko wae ko pae botare biakora leiri to mo.,0.3529,0.129
22,"Konto ŋwaane to, tega jege selabola yalei mo.","Konto ŋwaane to, tega jege sel-bola yalei mo.",0.125,0.0278
41,Ka woli zenzamesa se ba mᴐ botarebu-doora se ba da chwoŋa.,Ka woli zenzamisa se ba me botare bu-dwoora se ba da chwoŋa.,0.3636,0.0652
42,Ka woli zenzamesa se ba maane botarebia balo na wo taana wone to.,Ka woli sem zamesa se ba maane botare-bɛa balo na wó taana wone to.,0.3077,0.0769
43,Ka woli zenzamesa se ba ni botarebia kuri.,Ka woli zenzami sase ba ni botare bia kuri.,0.5,0.0294
56,Ma n tetere botarebia n maŋe selabole na ye kolo to.,"Maa n tete de botare bia, n maŋe selo bole, na ye kolo to.",0.6364,0.0732
58,Maŋe selabole dwoa yam na wo Kasem ne to seina.,Ba nye sɛ labwe dwoa yam na wo kaasem ne to sena.,0.6,0.2162
59,Maŋe selabole yedaa kam na ye tei botarebia mᴐᴐnem maŋa ne to memaŋe.,"Mɛyŋ-sɛla bwolo ye daa kam, na ye tei botare-bia mɛ ni maŋa ne to memaŋe.",0.4615,0.1786
65,"Nenεεne botarebu ná jege vawola yalei, o wó taa ye selabola yalei botarebu mo.","Nené ne bu-taara bu ná jege va wola yalei, o wó taa ye selo bola yalei bu-taara bu mu.",0.7857,0.1587
67,Bwɛ selabole yedaa kam na ye tei Kasem ne to.,Wɛ-salabwola ye daa kam na ye tei kasem ne to.,0.3,0.1143
73,Bwɛ na daane selabola yagera na wo botarebia balo á na le to ne dedoa dedoa.,Wɛ na daane sila bola yagera na wó botare-dɛa balo á na le to ne dedoa dedoa.,0.3125,0.0833
77,Manchᴐŋᴐ de memena deém mo ye badwon-chɛɛro.,Ban-cheŋa de memena dɛ mo ye ba jwoni chɛɛro.,0.7143,0.2222
80,Ko daare ye manchᴐŋᴐ yeini ko kare ko charege mo ko di ko ywoani.,Ko daare mancheŋa yeini kokare ko charege mo ko di ko ywaane.,0.3571,0.1176
96,Ghana taana yam maama ye kwoar-taŋa taana mo.,Ka na taana yam maama ye kɔro taŋa taana mo.,0.5,0.1667
98,Taana dedɛ jege kwori dwi dwi mo.,Kaana dedɛt jege kwori dwi dwi mu.,0.4286,0.1154
102,Babam nam ta jege tetare kwori ba woli yalei yam wone.,Ba bam nam ta jege te taare kwori ba woli yalei yam wone.,0.3636,0.0233
107,Kasem taane dem nam jege kwori dwoa yana mo.,Kasim taane dem nam jege kwori-dua yana mo.,0.3333,0.0857
112,Maana mo tento kuri ne na bere kwori na toŋe to tei.,"Maana mo tento kuri ne, nabere kwori na toŋe to tei.",0.1667,0.0
114,Kwori ke totoŋa yatɔ mo taane wone.,Ko de ke totoŋa yatɔ mo taane wone.,0.2857,0.1071
115,"Yanto mo ye botarebu poponem, botarebu kuri de botarebu beeri.","Yanto mo ye botare bu popone, botare bu kuri de botare bu biere.",0.8,0.0588
119,De yeini de bere maŋa kalo keim dem na ke to mo.,De yeini de bere maŋa kalo keim dem na ke to mo.,0.0,0.0
123,Kawea wó (keim na lage de ke) di wodiu kom.,Kawea wó tei na laam de ke de wodiu kom.,0.3,0.1613
124,Kawea wo (keim na ke de kɛ) di wodiu kom.,Kawɛ was keim na ke de kɛ de wodiu kom.,0.3,0.1724
125,Anuga déem (keim na ke de kɛ ye de ke de twoŋi daane to) vare gaao ne mo.,A nuga déem keim na ke de ka ye de ke de toŋe daane to pare gaao ne mo.,0.2778,0.0755
127,Á wo (keim na ke de kɛ ye keira bam daga) vei sikuuli zem.,"A wo-skeim ná ke de ka yei-keera bam dagaane vei se kuli zem,",0.7143,0.2619
128,A wo (keim na ke de kɛ ye keiru wom ye dedoa to) vei sikuuli zem.,"Kawosikim ná ke de-kɛ, ye keero wom ye de dɔa. Teim-baroa. Vɛsikulism.",0.75,0.4255
129,Kwori wae de bere taane dedoa botarebia beeri na sere daane tei.,"Nit-nibɛne tia ne na daa tela ná buzi, kwei na mɛ sele dáane tei.",1.0,0.5769
132,Ma n tetere botarebia n maŋe kwori na ye kolo to.,Maane tɛ tere botare bia maŋe kwori na ye kolo to.,0.4545,0.1053
134,Ma maana yalo na maŋe to n ma-n maŋe kwori dwoa yalo na wo Kasem ne to.,A maana yalo na maŋe to ma maŋe kwori dua yalo na wo kasem ne to.,0.2353,0.0943
135,Jeini na gurupa ne se á maŋe kwori totoŋa yam memaŋa.,Jei ni na gurupa ne se a maŋe kwori totoŋa yam memaŋa.,0.2727,0.0238
139,Popone na kwori dwoa yalo botarebia banto na jege to.,Popo wom na kwori doa yalo botare bia banto na jege to.,0.5,0.093
141,Popone botarebia bana dé na bere kwori ba yuu ne poponem maŋa ne to.,"Popone botare-bia, bana de na bere kwori ba yuu ne popone maŋa ne to.",0.1429,0.037
147,Ma maana yatᴐ n maŋe kwori totoŋa na ye tei Kasem taane dem wone to.,Mɔɔno yé tei n maŋe kworu totoŋa na ye tei kasem taane dem wone to.,0.2667,0.1698
156,Boboŋ-kuri ye woyuu kolo chekke tapane dem na tε ko taane to mo.,Boboŋ-kuri yei wɛyuu kolo chekke tapane dem na tɛ ko taane to mo.,0.2308,0.06
183,Ma n tetere botarebia n popone tapane dem kukuanu.,"Nmo ma n tete de botare bia, n popone ta pa-ne dem kokwaane.",0.8889,0.1951
204,Ka-ga ka-maŋe yiga jege nyenyero dedɛ mo.,Kaka ka maŋe yiga jege nyenyero dedɛ mo.,0.4286,0.0312
211,Garem dento dwi maŋe de sensɔle selo na tɛ chega to mo.,Garebin dento dwi maŋe de sensɔle selo ná tɛ chega to mo.,0.1667,0.093
213,Garem dento dwi ye se n dole n yia mo lela lela tapane dem wone.,Garem dento dwi yi se n dole n yia mo leila leila ta pa-ne dem wone.,0.3333,0.0612
217,Ga tapane dem kuri ne to.,Ga á pa-ne dem kuri ni to.,0.5,0.1579
218,Popone boboŋ-kuri delo na wo tapane dem na wo kuri ne to wone.,Popwooni boboŋ-kuri delo na wó ta pa-ne dem na wó kuri ne to wó ne.,0.5385,0.125
